testing,toasting
markov,barkov
tasty,awful
debate,dance-off
self driving,uncontrollably swerving
poll,psychic reading
candidate,airbender
drone,dog
vows to,probably won't
at large,very large
successfully,suddenly
expands,explodes
global,spherical
years,minutes
minutes,years
horsepower,tons of horsemeat
bot,Leslie
people,robots
robots,people
aliens,predators
drive,run at full speed
ping,pong
pong,ping
oof,kill me
shit,poo
fuck,fornicate
tiggerbiggo,that guy nobody likes
leslie,oof
dank,pretty ok
car,cat
space,SPAAAAAACE
paws,danger mittens
funny,freakin' hilarious
steve,jeeves
XD,i want to die
xD,banana
ayy,lmao
bepis,bepsu
meme,maymay
toby,memelord
die,explode
lol,i'm a bitch
cunt,very respectable individual
